code,name,area,density,age_med,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0455000,Phoenix,517.9949035,3201.618373,33.9,0,0,0,0,0,0,0,0,1536632,1450206,1455565,1462368,1473639,1490758,1514208,1555324,1574421,1610071,1633017,1658422
0644000,Los Angeles,469.4916011,8462.9373358,35.9,0,0,0,0,0,0,0,0,3796840,3772486,3782544,3804503,3827261,3862210,3900794,3918872,3949776,3959657,3966936,3973278
0666000,San Diego,325.8840945,4340.638355,35.2,0,0,0,0,0,0,0,0,1297618,1282800,1296437,1308619,1322838,1341510,1359791,1374812,1390966,1401932,1409573,1414545
1714000,Chicago,227.7300156,11853.2771948,34.8,0,0,0,0,0,0,0,0,2824064,2703466,2700741,2702471,2706101,2712608,2717534,2714017,2722586,2718555,2709534,2699347
3651000,New York,300.4510763,27889.9050865,36.9,0,0,0,0,0,0,0,0,8302659,8078471,8128980,8199221,8268999,8354889,8426743,8461961,8560072,8443713,8419316,8379552
4260000,Philadelphia,134.356362,11771.1657009,34.6,0,0,0,0,0,0,0,0,1531112,1504950,1514456,1525811,1536704,1546920,1555072,1559938,1569657,1575522,1579075,1581531
4819000,Dallas,339.580671,3942.6448984,32.9,0,0,0,0,0,0,0,0,1269204,1187285,1196258,1207202,1222167,1240985,1260688,1278433,1300122,1318806,1330612,1338846
4835000,Houston,640.4437291,3611.9301272,33.3,0,0,0,0,0,0,0,0,2191400,2068026,2089090,2107449,2134707,2167988,2217706,2240582,2267336,2295982,2310432,2313238
4865000,San Antonio,498.8436048,3065.3555248,33.8,0,0,0,0,0,0,0,0,1319492,1290196,1313155,1335287,1359033,1385438,1413881,1439358,1461623,1486521,1508083,1529133
